asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV01785	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Bulbithecium	truncatum
ASV01786	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Gamszarea	
ASV01788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	molesta
ASV01791	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Cunninghamella	globospora
ASV01793	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	taiwanensis
ASV01794	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	
ASV01795	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	silesianum
ASV01796	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Kalmusia	
ASV01797	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	lamiacearum
ASV01798	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV01799	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	ritchiei
ASV01802	Fungi	Ascomycota	Pezizomycetes	Pezizales		Coprotus	epithecioides
ASV01804	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	sporulosa
ASV01805	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	
ASV01806	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV01807	Fungi	Ascomycota	Lecanoromycetes				
ASV01810	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	phragmitis
ASV01811	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
ASV01812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	ribicola
ASV01814	Fungi	Kickxellomycota	Ramicandelaberomycetes	Ramicandelaberales	Ramicandelaberaceae	Ramicandelaber	
ASV01820	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
ASV01821	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
ASV01826	Fungi	Blastocladiomycota					
ASV01828	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Bulbithecium	ammophilae
ASV01830	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV01831	Fungi	Chytridiomycota					
ASV01838	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
ASV01840	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV01841	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	
ASV01842	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	beta
ASV01843	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV01844	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Calogaya	xanthoriella
ASV01845	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
ASV01847	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Oedocephalum	
ASV01850	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	
ASV01853	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Malbranchea	albolutea
ASV01854	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	
ASV01855	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	clarus
ASV01856	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	cannabis
ASV01857	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Phallus	rugulosus
ASV01858	Fungi	Ascomycota	Dothideomycetes				
ASV01859	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	disticha
ASV01863	Fungi						
ASV01865	Fungi						
ASV01868	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	pullulans
ASV01870	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	nigrescens
ASV01871	Fungi	Glomeromycota	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	
ASV01872	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Pezizella	
ASV01873	Fungi	Ascomycota	Dothideomycetes			Monodictys	putredinis
ASV01874	Fungi	Ascomycota	Dothideomycetes		Pseudorobillardaceae	Pseudorobillarda	phragmitis
ASV01875	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	tephrensis
ASV01878	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01882	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01885	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	
ASV01886	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae		
ASV01888	Fungi	Ascomycota	Sordariomycetes	Xylariales		Polyscytalum	pustulans
ASV01889	Fungi	Ascomycota					
ASV01890	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	
ASV01892	Fungi	Ascomycota				Triscelophorus	
ASV01894	Fungi	Ascomycota	Leotiomycetes	Helotiales	Calloriaceae		
ASV01896	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
ASV01900	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	
ASV01901	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Neocamarosporiaceae	Neocamarosporium	
ASV01902	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
ASV01903	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	hungaricum
ASV01907	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnoascus	reessii
ASV01908	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01919	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Mycocentrospora	
ASV01920	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Blumeria	graminis
ASV01921	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Laburnicola	
ASV01923	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	polymorpha
ASV01926	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tanneri
ASV01928	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01929	Fungi	Ascomycota	Leotiomycetes	Helotiales		Crocicreas	
ASV01932	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	floriforme
ASV01934	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV01937	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV01939	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	penicillioides
ASV01941	Fungi	Ascomycota	Dothideomycetes	Dothideales	Neocelosporiaceae		
ASV01944	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	maius
